Location Name,Who Polices This Muni? (for munis without their own dept),Link to police department,Do they have a police union?,Total Number Police Officers (as of 2019),Full Time Police (as of 2019),Part Time Police (as of 2019),Do they use a police bill of rights?,Keywords found in contract
Clairton City,,http://cityofclairton.com/city-of-clairton-police-department/,Teamsters LU 205,12,10,2,,none
Collier Township,,https://www.colliertownship.net/154/Police-Services,,18,18,0,Y,"false arrest, destroy, time limit, subpoena, discipline"
Coraopolis Borough,,http://coraopolispa.com/police-department/,,12,9,3,N,"false arrest, subpoena"
Crafton Borough,,https://www.craftonborough.com/emergency-services,,10,10,0,Y,"false arrest, destroy, time limit, subpoena, release, discipline"
Crescent Township,,http://crescenttownship.com/departments/police/,Teamsters LU 205,9,5,4,Y,"false arrest, time limit, subpoena, discipline"
Dormont Borough,,http://boro.dormont.pa.us/police/,,13,13,0,Y,"time limit, release, discipline"
Dravosburg Borough,McKeesport City,,,,,,,
Duquesne City,,http://duquesnepa.us/city_officials,Teamsters LU 205,12,12,0,Y,"false arrest, destroy, time limit, release, discipline"
East Deer Township,,http://eastdeertownship.org/police-department/,,8,1,7,,
East McKeesport Borough,,http://www.eastmckeesportboro.com/police.htm,,9,3,6,N,time limit
East Pittsburgh Borough,Pennsylvania State Police,,,,,,N,
Edgewood Borough,,http://www.edgewood.pgh.pa.us/edgewoodpolice/index.htm,Teamsters LU 205,13,8,5,N,"destroy, release, discipline"
Edgeworth Borough,,https://edgeworthborough.org/services/police/,,9,4,5,N,discipline
Elizabeth Borough,,http://elizabethpa.net/police/,,14,1,13,Y,"false arrest, destroy, time limit, release, discipline"
Elizabeth Township,,http://elizabethtownshippa.com/home/public-safety/police-department/,Teamsters LU 205,13,13,0,Y,"false arrest, time limit, release, discipline"
Emsworth Borough,Ohio Township,https://www.ohiotwp.org/police,,,,,Y,
Etna Borough,,http://www.etnaborough.org/public-safety.html,,8,7,1,Y,"false arrest, destroy, time limit"
Fawn Township,,https://www.fawntownship.com,,1,1,0,,
Findlay Township,,http://www.findlaytwp.org/151/Police,,19,18,1,N,"false arrest, release, discipline"
Forest Hills Borough,,https://foresthillspa.org,,10,9,1,N,"false arrest, time limit, subpoena, discipline"
Forward Township,,http://forwardtownship.com,,10,1,9,,
Fox Chapel Borough,,https://www.fox-chapel.pa.us/police-department,,11,11,0,N,"time limit, discipline"
Franklin Park Borough,,https://www.franklinparkborough.us/165/Police-Department,Teamsters LU 205,17,14,3,N,"false arrest, release, discipline"
Frazer Township,,http://www.frazertownship.net,,11,2,9,N,"time limit, subpoena, discipline"
Glassport Borough,,https://glassportborough.net/police-department,Teamsters LU 205,13,7,6,Y,"false arrest, time limit, subpoena, discipline"
Glen Osborne Borough,Sewickley Borough,,,,,,,none
Glenfield Borough,Pennyslvania State Police,,,,,,,
Green Tree Borough,,http://www.greentreeboro.com/gtpdindex.php,Teamsters LU 205,9,9,0,Y,"false arrest, time limit, release, discipline"
Hampton Township,,https://www.hampton-pa.org/182/Police-Department,Teamsters LU 249,22,18,4,N,discipline
Harmar Township,,http://www.harmartownship-pa.gov/Police-Department.html,Teamsters LU 249,10,8,2,N,"false arrest, subpoena, discipline"
Harrison Township,,http://harrisontwp.com/police-department/,Teamsters LU 249,13,13,0,N,"false arrest, time limit, discipline"
Haysville Borough,Pennsyvlania State Police,,,,,,,
Heidelberg Borough,,http://heidelbergborough.org/police-department/,,9,5,4,,
Homestead Borough,,http://www.homesteadborough.com/government/departments/police.aspx,Teamsters LU 205,16,12,4,Y,"false arrest, time limit, subpoena, release, discipline"
Indiana Township,,https://www.indianaboro.com/police,,13,10,3,N,
Ingram Borough,,https://www.ingramborough.org/police-department,,8,4,4,N,"destroy, discipline"
Jefferson Hills Borough,,https://www.jeffersonhillsboro.org/Police.aspx,Teamsters LU 205,20,20,0,N,"false arrest, time limit, subpoena, release, discipline"
Kennedy Township,,http://www.kennedytwp.com/public-safety/,,13,12,1,N,"destroy, time limit, subpoena, discipline"
Kilbuck Township,Ohio Township,https://www.ohiotwp.org/police,,0,,,Y,
Leet Township,,https://leettownship.org/police-department/,,9,5,4,N,"time limit, discipline"
Leetsdale Borough,,https://www.leetsdaleboro.net/index.asp?SEC=A1E4C7A2-C908-4D1F-9849-D81A0E07109F&Type=B_DIR,,9,5,4,Y,"false arrest, discipline"
